,trials,multiplications,threads,time,implementation,batchsize,effective_multiplications
228,58,140,1,0.141690134,numpy,1,8120
229,165,665,1,0.718525185,numpy,1,109725
230,308,710,8,1.388077865,numpy,1,218680
231,24,251,8,0.144415127,numpy,1,6024
232,227,227,2,0.386778777,numpy,1,51529
233,765,781,2,3.448997109,numpy,1,597465
234,28,242,4,0.14269734,numpy,1,6776
235,940,911,1,4.919944095,numpy,1,856340
236,304,314,8,0.65914338,numpy,1,95456
237,342,12,8,0.118975464,numpy,1,4104
238,559,98,1,0.407883733,numpy,1,54782
239,608,183,8,0.736635103,numpy,1,111264
240,769,907,2,3.95167971,numpy,1,697483
241,954,945,8,5.17444961,numpy,1,901530
242,375,979,8,2.170394741,numpy,1,367125
243,402,857,1,2.012130534,numpy,1,344514
244,711,631,4,2.636671747,numpy,1,448641
245,508,921,4,2.76359369,numpy,1,467868
246,678,96,2,0.470622844,numpy,1,65088
247,275,743,4,1.265869989,numpy,1,204325
248,897,557,2,2.919682293,numpy,1,499629
249,683,28,4,0.228922163,numpy,1,19124
250,612,5,8,0.116054135,numpy,1,3060
251,715,167,2,0.779061059,numpy,1,119405
252,826,736,1,3.526843455,numpy,1,607936
253,87,797,2,0.473637017,numpy,1,69339
254,408,439,4,1.141416969,numpy,1,179112
255,566,690,4,2.307871336,numpy,1,390540
256,453,944,8,2.558534286,numpy,1,427632
257,208,611,1,0.811326982,numpy,1,127088
258,189,307,8,0.443476236,numpy,1,58023
259,114,25,2,0.116195961,numpy,1,2850
260,765,341,2,1.587833219,numpy,1,260865
261,40,931,8,0.411376954,numpy,1,37240
262,833,102,8,0.656353287,numpy,1,84966
263,287,925,1,1.612489474,numpy,1,265475
264,793,429,2,2.00188436,numpy,1,340197
265,80,430,1,0.300142754,numpy,1,34400
266,585,851,1,2.867173669,numpy,1,497835
267,389,713,8,1.69139876,numpy,1,277357
268,987,81,8,0.604439565,numpy,1,79947
269,395,939,4,2.198067504,numpy,1,370905
270,472,534,4,1.50659973,numpy,1,252048
271,432,141,8,0.498004682,numpy,1,60912
272,314,29,4,0.157289893,numpy,1,9106
273,269,830,2,1.348429259,numpy,1,223270
274,342,964,8,2.056053172,numpy,1,329688
275,148,961,1,0.891623096,numpy,1,142228
276,625,247,4,0.963723543,numpy,1,154375
277,196,132,1,0.247422052,numpy,1,25872
278,589,376,8,1.40445542,numpy,1,221464
279,302,500,8,1.051974259,numpy,1,151000
280,282,49,2,0.183922599,numpy,1,13818
281,357,82,4,0.294143531,numpy,1,29274
282,110,547,2,0.427076209,numpy,1,60170
283,257,125,2,0.288683959,numpy,1,32125
284,786,673,1,3.082162995,numpy,1,528978
285,632,92,8,0.480814275,numpy,1,58144
286,432,306,8,0.938890246,numpy,1,132192
287,454,359,2,1.027663952,numpy,1,162986
288,944,659,8,3.641549425,numpy,1,622096
289,388,654,2,1.498259244,numpy,1,253752
290,945,263,8,1.594505792,numpy,1,248535
291,338,387,2,0.831006239,numpy,1,130806
292,968,687,2,3.845697443,numpy,1,665016
293,2,202,2,0.096097729,numpy,1,404
294,51,604,2,0.281463039,numpy,1,30804
295,376,417,4,1.013881998,numpy,1,156792
296,670,691,2,2.672364839,numpy,1,462970
297,708,469,1,1.932511831,numpy,1,332052
298,204,959,2,1.204787317,numpy,1,195636
299,95,263,4,0.253855782,numpy,1,24985
300,469,37,4,0.212180377,numpy,1,17353
301,752,120,1,0.607754806,numpy,1,90240
302,2,152,2,0.095092373,numpy,1,304
303,204,740,2,0.960375165,numpy,1,150960
304,744,582,4,2.540884033,numpy,1,433008
305,354,901,1,1.917711202,numpy,1,318954
306,968,768,8,4.323942376,numpy,1,743424
307,145,607,2,0.602783428,numpy,1,88015
308,361,439,2,0.981776162,numpy,1,158479
309,15,213,4,0.107928586,numpy,1,3195
310,57,248,4,0.199761226,numpy,1,14136
311,962,354,8,2.090827111,numpy,1,340548
312,429,352,2,0.957679028,numpy,1,151008
313,386,617,1,1.43077316,numpy,1,238162
314,700,90,8,0.492702364,numpy,1,63000
315,365,520,2,1.15817555,numpy,1,189800
316,171,98,1,0.187204817,numpy,1,16758
317,27,655,2,0.19428933,numpy,1,17685
318,4,593,4,0.106431282,numpy,1,2372
319,176,270,8,0.387657137,numpy,1,47520
320,10,273,1,0.10879111,numpy,1,2730
321,359,899,2,1.918118775,numpy,1,322741
322,267,557,1,0.93376676,numpy,1,148719
323,47,945,2,0.354866756,numpy,1,44415
324,252,923,4,1.413971835,numpy,1,232596
325,111,426,4,0.367106561,numpy,1,47286
326,280,943,2,1.612951327,numpy,1,264040
327,381,195,4,0.521296748,numpy,1,74295
328,706,436,4,1.843705577,numpy,1,307816
329,491,652,2,1.914535285,numpy,1,320132
330,902,421,4,2.227266174,numpy,1,379742
331,425,541,4,1.421802055,numpy,1,229925
